ID,Authors,Year,Journal,Title,Abstract,Keywords,Decision,Terms for NO,Terms for P No,Terms for P Yes,Terms for YES,Extra note
161,Abbott,2017,Journal of the American Medical Informatics Association : JAMIA,Automatic health record review to help prioritize gravely ill Social Security disability applicants,"Objective: Every year, thousands of patients die waiting for disability benefits from the Social Security Administration. Some qualify for expedited service under the Compassionate Allowance (CAL) initiative, but CAL software focuses exclusively on information from a single form field. This paper describes the development of a supplemental process for identifying some overlooked but gravely ill applicants, through automatic annotation of health records accompanying new claims. We explore improved prioritization instead of fully autonomous claims approval. Materials and Methods: We developed a sample of claims containing medical records at the moment of arrival in a single office. A series of tools annotated both patient records and public Web page descriptions of CAL medical conditions. We trained random forests to identify CAL patients and validated each model with 10-fold cross validation. Results: Our main model, a general CAL classifier, had an area under the receiver operating characteristic curve of 0.915. Combining this classifier with existing software improved sensitivity from 0.960 to 0.994, detecting every deceased patient, but reducing positive predictive value to 0.216. Discussion: True positive CAL identification is a priority, given CAL patient mortality. Mere prioritization of the false positives would not create a meaningful burden in terms of manual review. Death certificate data suggest the presence of truly ill patients among putative false positives. Conclusion: To a limited extent, it is possible to identify gravely ill Social Security disability applicants by analyzing annotations of unstructured electronic health records, and the level of identification is sufficient to be useful in prioritizing case reviews."," *Critical Illness; Decision Trees; *Disability Evaluation; *Disabled Persons; *Electronic Health Records; Eligibility Determination/*methods; Humans; Information Storage and Retrieval/methods; Insurance, Disability; *Natural Language Processing; ROC Curve; *Social Security; United States; Social Security; disability; government; health records; natural language processing",-2,,Health records ,,,
162,Tsai,2017,PloS one,Serum Uric Acid and Progression of Kidney Disease: A Longitudinal Analysis and Mini-Review,"BACKGROUND: Increasing evidence supports the association between hyperuricemia and incident chronic kidney disease (CKD); however, there are conflicting data regarding the role of hyperuricemia in the progression of CKD. This study retrospectively assessed the longitudinal association between uric acid (UA) level and CKD progression in a Chinese population lived in Taiwan. METHODS: Patients with physician diagnosis of hyperuricemia or receiving urate-lowering therapy between 2003 and 2005 were identified in the electronic medical records (EMR) of a tertiary medical center and were followed up until December 31, 2011. Patients were divided into four UA categories at the cut-off 6, 8, and 10 mg/dL. CKD progression was estimated by the change of estimated glomerular filtration rate (eGFR) in the linear mixed models. Kidney failure was defined as an eGFR less than 15 mL/min/1.73 m2 or requiring renal replacement therapy. RESULTS: A total of 739 patients were analyzed. In the full-adjusted model, patients with a baseline UA level >/=6 mg/dL had greater decline in eGFR ((beta = -9.6, 95% CI -16.1, -3.1), comparing to those with a UA level less than 6 mg/dL. When stratifying patients into four UA categories, all three hyperuricemia categories (UA6-8, 8-10, >/=10 mg/dL) associated with a greater decline in eGFR over the follow-up period with an increasing dose-response, comparing to the lowest UA category. The risk of progression to renal failure increased 7% (hazard ratio 1.07, 95% CI 1.00, 1.14) for each 1mg/dL increase in baseline UA level. The influences of hyperuricemia on eGFR decline and the risk of kidney failure were more prominent in patients without proteinuria than those with proteinuria. CONCLUSION: Our study showed a higher uric acid level is associated with a significant rapid decline in eGFR and a higher risk of kidney failure, particularly in patients without proteinuria. Our findings suggest hyperuricemia is a potential modifiable factor of CKD progression.", Cohort Studies; Disease Progression; Humans; Kidney Diseases/blood/*pathology; Longitudinal Studies; Retrospective Studies; Uric Acid/*blood,-2,,,,,
163,Schiff,2017,Journal of the American Medical Informatics Association : JAMIA,Screening for medication errors using an outlier detection system,"Objective: The study objective was to evaluate the accuracy, validity, and clinical usefulness of medication error alerts generated by an alerting system using outlier detection screening. Materials and Methods: Five years of clinical data were extracted from an electronic health record system for 747 985 patients who had at least one visit during 2012-2013 at practices affiliated with 2 academic medical centers. Data were screened using the system to detect outliers suggestive of potential medication errors. A sample of 300 charts was selected for review from the 15 693 alerts generated. A coding system was developed and codes assigned based on chart review to reflect the accuracy, validity, and clinical value of the alerts. Results: Three-quarters of the chart-reviewed alerts generated by the screening system were found to be valid in which potential medication errors were identified. Of these valid alerts, the majority (75.0%) were found to be clinically useful in flagging potential medication errors or issues. Discussion: A clinical decision support (CDS) system that used a probabilistic, machine-learning approach based on statistically derived outliers to detect medication errors generated potentially useful alerts with a modest rate of false positives. The performance of such a surveillance and alerting system is critically dependent on the quality and completeness of the underlying data. Conclusion: The screening system was able to generate alerts that might otherwise be missed with existing CDS systems and did so with a reasonably high degree of alert usefulness when subjected to review of patients' clinical contexts and details."," *Decision Support Systems, Clinical; Humans; Machine Learning; *Medical Order Entry Systems; Medication Errors/*prevention & control; Outpatient Clinics, Hospital; *clinical decision support; *electronic health records; *machine learning; *medication alert systems; *patient safety",-2,,,,,
164,Gu,2017,International journal of medical informatics,Visualizing the knowledge structure and evolution of big data research in healthcare informatics,"BACKGROUND: In recent years, the literature associated with healthcare big data has grown rapidly, but few studies have used bibliometrics and a visualization approach to conduct deep mining and reveal a panorama of the healthcare big data field. METHODS: To explore the foundational knowledge and research hotspots of big data research in the field of healthcare informatics, this study conducted a series of bibliometric analyses on the related literature, including papers' production trends in the field and the trend of each paper's co-author number, the distribution of core institutions and countries, the core literature distribution, the related information of prolific authors and innovation paths in the field, a keyword co-occurrence analysis, and research hotspots and trends for the future. RESULTS: By conducting a literature content analysis and structure analysis, we found the following: (a) In the early stage, researchers from the United States, the People's Republic of China, the United Kingdom, and Germany made the most contributions to the literature associated with healthcare big data research and the innovation path in this field. (b) The innovation path in healthcare big data consists of three stages: the disease early detection, diagnosis, treatment, and prognosis phase, the life and health promotion phase, and the nursing phase. (c) Research hotspots are mainly concentrated in three dimensions: the disease dimension (e.g., epidemiology, breast cancer, obesity, and diabetes), the technical dimension (e.g., data mining and machine learning), and the health service dimension (e.g., customized service and elderly nursing). CONCLUSION: This study will provide scholars in the healthcare informatics community with panoramic knowledge of healthcare big data research, as well as research hotspots and future research directions.", Bibliometrics; *Biomedical Research; Data Mining/*methods; *Databases as Topic; Humans; *Medical Informatics; *Bibliometrics; *Big data; *Healthcare informatics; *Knowledge management; *Knowledge structure,-1,,,,,
165,Maenner,2016,PloS one,Development of a Machine Learning Algorithm for the Surveillance of Autism Spectrum Disorder,"The Autism and Developmental Disabilities Monitoring (ADDM) Network conducts population-based surveillance of autism spectrum disorder (ASD) among 8-year old children in multiple US sites. To classify ASD, trained clinicians review developmental evaluations collected from multiple health and education sources to determine whether the child meets the ASD surveillance case criteria. The number of evaluations collected has dramatically increased since the year 2000, challenging the resources and timeliness of the surveillance system. We developed and evaluated a machine learning approach to classify case status in ADDM using words and phrases contained in children's developmental evaluations. We trained a random forest classifier using data from the 2008 Georgia ADDM site which included 1,162 children with 5,396 evaluations (601 children met ADDM ASD criteria using standard ADDM methods). The classifier used the words and phrases from the evaluations to predict ASD case status. We evaluated its performance on the 2010 Georgia ADDM surveillance data (1,450 children with 9,811 evaluations; 754 children met ADDM ASD criteria). We also estimated ASD prevalence using predictions from the classification algorithm. Overall, the machine learning approach predicted ASD case statuses that were 86.5% concordant with the clinician-determined case statuses (84.0% sensitivity, 89.4% predictive value positive). The area under the resulting receiver-operating characteristic curve was 0.932. Algorithm-derived ASD ""prevalence"" was 1.46% compared to the published (clinician-determined) estimate of 1.55%. Using only the text contained in developmental evaluations, a machine learning algorithm was able to discriminate between children that do and do not meet ASD surveillance criteria at one surveillance site.", *Algorithms; Area Under Curve; Autism Spectrum Disorder/classification/*diagnosis; Child; Female; Georgia/epidemiology; Humans; *Machine Learning; Male; Prevalence; ROC Curve; Sensitivity and Specificity,-1,,,,,
166,Kal,2016,PloS one,Is Implicit Motor Learning Preserved after Stroke? A Systematic Review with Meta-Analysis,"Many stroke patients experience difficulty with performing dual-tasks. A promising intervention to target this issue is implicit motor learning, as it should enhance patients' automaticity of movement. Yet, although it is often thought that implicit motor learning is preserved post-stroke, evidence for this claim has not been systematically analysed yet. Therefore, we systematically reviewed whether implicit motor learning is preserved post-stroke, and whether patients benefit more from implicit than from explicit motor learning. We comprehensively searched conventional (MEDLINE, Cochrane, Embase, PEDro, PsycINFO) and grey literature databases (BIOSIS, Web of Science, OpenGrey, British Library, trial registries) for relevant reports. Two independent reviewers screened reports, extracted data, and performed a risk of bias assessment. Overall, we included 20 out of the 2177 identified reports that allow for a succinct evaluation of implicit motor learning. Of these, only 1 study investigated learning on a relatively complex, whole-body (balance board) task. All 19 other studies concerned variants of the serial-reaction time paradigm, with most of these focusing on learning with the unaffected hand (N = 13) rather than the affected hand or both hands (both: N = 4). Four of the 20 studies compared explicit and implicit motor learning post-stroke. Meta-analyses suggest that patients with stroke can learn implicitly with their unaffected side (mean difference (MD) = 69 ms, 95% CI[45.1, 92.9], p < .00001), but not with their affected side (standardized MD = -.11, 95% CI[-.45, .25], p = .56). Finally, implicit motor learning seemed equally effective as explicit motor learning post-stroke (SMD = -.54, 95% CI[-1.37, .29], p = .20). However, overall, the high risk of bias, small samples, and limited clinical relevance of most studies make it impossible to draw reliable conclusions regarding the effect of implicit motor learning strategies post-stroke. High quality studies with larger samples are warranted to test implicit motor learning in clinically relevant contexts.", Aged; Humans; Learning/*physiology; Middle Aged; Motor Skills/*physiology; Reaction Time; Recovery of Function; Stroke/*physiopathology/psychology; Stroke Rehabilitation,-2,,,,,
167,Canela-Xandri,2016,PloS one,Improved Genetic Profiling of Anthropometric Traits Using a Big Data Approach,"Genome-wide association studies (GWAS) promised to translate their findings into clinically beneficial improvements of patient management by tailoring disease management to the individual through the prediction of disease risk. However, the ability to translate genetic findings from GWAS into predictive tools that are of clinical utility and which may inform clinical practice has, so far, been encouraging but limited. Here we propose to use a more powerful statistical approach, the use of which has traditionally been limited due to computational requirements and lack of sufficiently large individual level genotyped cohorts, but which improve the prediction of multiple medically relevant phenotypes using the same panel of SNPs. As a proof of principle, we used a shared panel of 319,038 common SNPs with MAF > 0.05 to train the prediction models in 114,264 unrelated White-British individuals for height and four obesity related traits (body mass index, basal metabolic rate, body fat percentage, and waist-to-hip ratio). We obtained prediction accuracies that ranged between 46% and 75% of the maximum achievable given the captured heritable component. For height, this represents an improvement in prediction accuracy of up to 68% (184% more phenotypic variance explained) over SNPs reported to be robustly associated with height in a previous GWAS meta-analysis of similar size. Across-population predictions in White non-British individuals were similar to those in White-British whilst those in Asian and Black individuals were informative but less accurate. We estimate that the genotyping of circa 500,000 unrelated individuals will yield predictions between 66% and 82% of the SNP-heritability captured by common variants in our array. Prediction accuracies did not improve when including rarer SNPs or when fitting multiple traits jointly in multivariate models."," Adiposity/*genetics; Anthropometry; Basal Metabolism/*genetics; *Body Mass Index; Female; Genetic Association Studies; Genetic Variation; Genotype; Humans; Male; Models, Genetic; Obesity/*genetics; Phenotype; *Polymorphism, Single Nucleotide; *Waist-Hip Ratio",-2,,,,,
168,Gonzalez-Villa,2016,Artificial intelligence in medicine,A review on brain structures segmentation in magnetic resonance imaging,"BACKGROUND AND OBJECTIVES: Automatic brain structures segmentation in magnetic resonance images has been widely investigated in recent years with the goal of helping diagnosis and patient follow-up in different brain diseases. Here, we present a review of the state-of-the-art of automatic methods available in the literature ranging from structure specific segmentation methods to whole brain parcellation approaches. METHODS: We divide first the algorithms according to their target structures and then we propose a general classification based on their segmentation strategy, which includes atlas-based, learning-based, deformable, region-based and hybrid methods. We further discuss each category's strengths and weaknesses and analyze its performance in segmenting different brain structures providing a qualitative and quantitative comparison. RESULTS: We compare the results of the analyzed works for the following brain structures: hippocampus, thalamus, caudate nucleus, putamen, pallidum, amygdala, accumbens, lateral ventricles, and brainstem. The structures on which more works have focused on are the hippocampus and the caudate nucleus. In general, the accumbens (0.69 mean DSC) is the most difficult structure to segment whereas the structures that seem to get the best results are the brainstem, closely followed by the thalamus and the putamen with 0.88, 0.87 and 0.86 mean DSC, respectively. Atlas-based approaches achieve good results when segmenting the hippocampus (DSC between 0.75 and 0.90), thalamus (0.88-0.92) and lateral ventricles (0.83-0.93), while deformable methods perform good for caudate nucleus (0.84-0.91) and putamen segmentation (0.86-0.89). CONCLUSIONS: There is not yet a single automatic segmentation approach that can emerge as a standard for the clinical practice, providing accurate brain structures segmentation. Future trends need to focus on combining multi-atlas methods with learning-based or deformable approaches. Employing atlases to provide spatial robustness and modeling the structures appearance with supervised classifiers or Active Appearance Models could lead to improved segmentation results.", *Algorithms; Atlases as Topic; Brain/*diagnostic imaging; Hippocampus/diagnostic imaging; Humans; *Magnetic Resonance Imaging; *Automated segmentation methods; *Brain structures; *Review,-2,,,,,
169,Vuokko,2017,International journal of medical informatics,Impacts of structuring the electronic health record: Results of a systematic literature review from the perspective of secondary use of patient data,"PURPOSE: To explore the impacts that structuring of electronic health records (EHRs) has had from the perspective of secondary use of patient data as reflected in currently published literature. This paper presents the results of a systematic literature review aimed at answering the following questions; (1) what are the common methods of structuring patient data to serve secondary use purposes; (2) what are the common methods of evaluating patient data structuring in the secondary use context, and (3) what impacts or outcomes of EHR structuring have been reported from the secondary use perspective. METHODS: The reported study forms part of a wider systematic literature review on the impacts of EHR structuring methods and evaluations of their impact. The review was based on a 12-step systematic review protocol adapted from the Cochrane methodology. Original articles included in the study were divided into three groups for analysis and reporting based on their use focus: nursing documentation, medical use and secondary use (presented in this paper). The analysis from the perspective of secondary use of data includes 85 original articles from 1975 to 2010 retrieved from 15 bibliographic databases. RESULTS: The implementation of structured EHRs can be roughly divided into applications for documenting patient data at the point of care and application for retrieval of patient data (post hoc structuring). Two thirds of the secondary use articles concern EHR structuring methods which were still under development or in the testing phase. METHODS: of structuring patient data such as codes, terminologies, reference information models, forms or templates and documentation standards were usually applied in combination. Most of the identified benefits of utilizing structured EHR data for secondary use purposes concentrated on information content and quality or on technical quality and reliability, particularly in the case of Natural Language Processing (NLP) studies. A few individual articles evaluated impacts on care processes, productivity and costs, patient safety, care quality or other health impacts. In most articles these endpoints were usually discussed as goals of secondary use and less as evidence-supported impacts, resulting from the use of structured EHR data for secondary purposes. CONCLUSIONS: Further studies and more sound evaluation methods are needed for evidence on how EHRs are utilized for secondary purposes, and how structured documentation methods can serve different users' needs, e.g. administration, statistics and research and development, in parallel to medical use purposes.", *Documentation; Electronic Health Records/*organization & administration/standards/*statistics &; numerical data; Humans; Information Storage and Retrieval/*standards; Meaningful Use; Quality of Health Care; *Electronic health records; *Free text; *Secondary use of patient data; *Structured data; *Systematic literature review,-2,,,,,
170,Kadi,2017,International journal of medical informatics,Knowledge discovery in cardiology: A systematic literature review,"CONTEXT: Data mining (DM) provides the methodology and technology needed to transform huge amounts of data into useful information for decision making. It is a powerful process employed to extract knowledge and discover new patterns embedded in large data sets. Data mining has been increasingly used in medicine, particularly in cardiology. In fact, DM applications can greatly benefit all those involved in cardiology, such as patients, cardiologists and nurses. OBJECTIVE: The purpose of this paper is to review papers concerning the application of DM techniques in cardiology so as to summarize and analyze evidence regarding: (1) the DM techniques most frequently used in cardiology; (2) the performance of DM models in cardiology; (3) comparisons of the performance of different DM models in cardiology. METHOD: We performed a systematic literature review of empirical studies on the application of DM techniques in cardiology published in the period between 1 January 2000 and 31 December 2015. RESULTS: A total of 149 articles published between 2000 and 2015 were selected, studied and analyzed according to the following criteria: DM techniques and performance of the approaches developed. The results obtained showed that a significant number of the studies selected used classification and prediction techniques when developing DM models. Neural networks, decision trees and support vector machines were identified as being the techniques most frequently employed when developing DM models in cardiology. Moreover, neural networks and support vector machines achieved the highest accuracy rates and were proved to be more efficient than other techniques."," Cardiology/*education; Data Mining/*methods; Decision Trees; Models, Theoretical; Neural Networks (Computer); Support Vector Machine; *Cardiology; *Data mining; *Knowledge extraction; *Medical tasks",-1,,,,,
171,Gogovor,2017,International journal of medical informatics,Informing the development of an Internet-based chronic pain self-management program,"BACKGROUND: Self-management can optimize health outcomes for individuals with chronic pain (CP), an increasing fiscal and social burden in Canada. However, self-management is rarely integrated into the regular care (team activities and medical treatment) patients receive. Health information technology offers an opportunity to provide regular monitoring and exchange of information between patient and care team. OBJECTIVE: To identify information needs and gaps in chronic pain management as well as technology features to inform the development of an Internet-based self-management program. METHODS: Two methods were used. First was a structured literature review: electronic databases were searched up to 2015 with combinations of MeSH terms and text-words such as chronic pain, self-management, self-efficacy, technology, Internet-based, patient portal, and e-health. A narrative synthesis of the characteristics and content of Internet-based pain management programs emerging from the literature review and how they relate to gaps in chronic pain management were completed. Second, four audiotaped focus group sessions were conducted with individuals with chronic pain and caregivers (n=9) and health professionals (n=7) recruited from three multidisciplinary tertiary and rehabilitation centres. A thematic analysis of the focus group transcripts was conducted. RESULTS: Thirty-nine primary articles related to 20 patient-oriented Internet-based programs were selected. Gaps in CP management included lack of knowledge, limited access to health care, suboptimal care, and lack of self-management support. Overall, 14 themes related to information needs and gaps in care were identified by both health professionals and patients, three were exclusive to patients and five to health professionals. Common themes from the focus groups included patient education on chronic pain care, attitude-belief-culture, financial and legal issues, end-of-program crash, and motivational content. CONCLUSIONS: Internet-based programs contain automated, communication and decision support features that can address information and care gaps reported by patients and clinicians. However, focus groups identified functionalities not reported in the literature, non-medical and condition- and context-specific information, integration of personal health records, and the role of the different health professionals in chronic pain management were not identified. These gaps need to be considered in the future development of Internet-based programs. While the association between the mechanisms of Internet-based programs' features and outcomes is not clearly established, the results of this study indicate that interactivity, personalization and tailored messages, combined with therapist contact will maximize the effectiveness of an Internet-based chronic pain program in enhancing self-management.", Adult; Aged; Attitude; Canada; Caregivers; Chronic Pain/*therapy; Female; Focus Groups; Humans; *Internet; Male; Middle Aged; *Pain Management; Patient Education as Topic/methods; *Self Care; *Chronic pain; *Internet-based program; *Self-management; *e-health,-2,,,,,
172,Ouzzani,2016,Systematic reviews,Rayyan-a web and mobile app for systematic reviews,"BACKGROUND: Synthesis of multiple randomized controlled trials (RCTs) in a systematic review can summarize the effects of individual outcomes and provide numerical answers about the effectiveness of interventions. Filtering of searches is time consuming, and no single method fulfills the principal requirements of speed with accuracy. Automation of systematic reviews is driven by a necessity to expedite the availability of current best evidence for policy and clinical decision-making. We developed Rayyan ( http://rayyan.qcri.org ), a free web and mobile app, that helps expedite the initial screening of abstracts and titles using a process of semi-automation while incorporating a high level of usability. For the beta testing phase, we used two published Cochrane reviews in which included studies had been selected manually. Their searches, with 1030 records and 273 records, were uploaded to Rayyan. Different features of Rayyan were tested using these two reviews. We also conducted a survey of Rayyan's users and collected feedback through a built-in feature. RESULTS: Pilot testing of Rayyan focused on usability, accuracy against manual methods, and the added value of the prediction feature. The ""taster"" review (273 records) allowed a quick overview of Rayyan for early comments on usability. The second review (1030 records) required several iterations to identify the previously identified 11 trials. The ""suggestions"" and ""hints,"" based on the ""prediction model,"" appeared as testing progressed beyond five included studies. Post rollout user experiences and a reflexive response by the developers enabled real-time modifications and improvements. The survey respondents reported 40% average time savings when using Rayyan compared to others tools, with 34% of the respondents reporting more than 50% time savings. In addition, around 75% of the respondents mentioned that screening and labeling studies as well as collaborating on reviews to be the two most important features of Rayyan. As of November 2016, Rayyan users exceed 2000 from over 60 countries conducting hundreds of reviews totaling more than 1.6M citations. Feedback from users, obtained mostly through the app web site and a recent survey, has highlighted the ease in exploration of searches, the time saved, and simplicity in sharing and comparing include-exclude decisions. The strongest features of the app, identified and reported in user feedback, were its ability to help in screening and collaboration as well as the time savings it affords to users. CONCLUSIONS: Rayyan is responsive and intuitive in use with significant potential to lighten the load of reviewers.", Feedback; Humans; *Internet; *Mobile Applications/standards; Randomized Controlled Trials as Topic; *Research Design; *Review Literature as Topic; Time Factors; *Automation; *Evidence-based medicine; *Systematic reviews,2,,,,"Rayyan, Screening of abstracts",
173,Salamon,2016,PloS one,Towards the Automatic Classification of Avian Flight Calls for Bioacoustic Monitoring,"Automatic classification of animal vocalizations has great potential to enhance the monitoring of species movements and behaviors. This is particularly true for monitoring nocturnal bird migration, where automated classification of migrants' flight calls could yield new biological insights and conservation applications for birds that vocalize during migration. In this paper we investigate the automatic classification of bird species from flight calls, and in particular the relationship between two different problem formulations commonly found in the literature: classifying a short clip containing one of a fixed set of known species (N-class problem) and the continuous monitoring problem, the latter of which is relevant to migration monitoring. We implemented a state-of-the-art audio classification model based on unsupervised feature learning and evaluated it on three novel datasets, one for studying the N-class problem including over 5000 flight calls from 43 different species, and two realistic datasets for studying the monitoring scenario comprising hundreds of thousands of audio clips that were compiled by means of remote acoustic sensors deployed in the field during two migration seasons. We show that the model achieves high accuracy when classifying a clip to one of N known species, even for a large number of species. In contrast, the model does not perform as well in the continuous monitoring case. Through a detailed error analysis (that included full expert review of false positives and negatives) we show the model is confounded by varying background noise conditions and previously unseen vocalizations. We also show that the model needs to be parameterized and benchmarked differently for the continuous monitoring scenario. Finally, we show that despite the reduced performance, given the right conditions the model can still characterize the migration pattern of a specific species. The paper concludes with directions for future research."," Animal Migration; Animals; Area Under Curve; Automation; Birds/*classification/physiology; Flight, Animal/*physiology; ROC Curve; Seasons; Tape Recording; Vocalization, Animal",-2,,,,,
174,Ivliev,2016,PloS one,Drug Repositioning through Systematic Mining of Gene Coexpression Networks in Cancer,"Gene coexpression network analysis is a powerful ""data-driven"" approach essential for understanding cancer biology and mechanisms of tumor development. Yet, despite the completion of thousands of studies on cancer gene expression, there have been few attempts to normalize and integrate co-expression data from scattered sources in a concise ""meta-analysis"" framework. We generated such a resource by exploring gene coexpression networks in 82 microarray datasets from 9 major human cancer types. The analysis was conducted using an elaborate weighted gene coexpression network (WGCNA) methodology and identified over 3,000 robust gene coexpression modules. The modules covered a range of known tumor features, such as proliferation, extracellular matrix remodeling, hypoxia, inflammation, angiogenesis, tumor differentiation programs, specific signaling pathways, genomic alterations, and biomarkers of individual tumor subtypes. To prioritize genes with respect to those tumor features, we ranked genes within each module by connectivity, leading to identification of module-specific functionally prominent hub genes. To showcase the utility of this network information, we positioned known cancer drug targets within the coexpression networks and predicted that Anakinra, an anti-rheumatoid therapeutic agent, may be promising for development in colorectal cancer. We offer a comprehensive, normalized and well documented collection of >3000 gene coexpression modules in a variety of cancers as a rich data resource to facilitate further progress in cancer research."," Biomarkers, Tumor/genetics; Cell Differentiation/genetics; Cell Proliferation/genetics; Data Mining/methods; Drug Repositioning/methods; Gene Expression/*genetics; Gene Expression Profiling/methods; Gene Regulatory Networks/*genetics; Genomics/methods; Humans; Hypoxia/genetics; Inflammation/genetics; Neoplasms/*genetics; Signal Transduction/genetics",-2,Gene expression,,,,
176,Wallace,2016,Journal of machine learning research : JMLR,Extracting PICO Sentences from Clinical Trial Reports using Supervised Distant Supervision,"Systematic reviews underpin Evidence Based Medicine (EBM) by addressing precise clinical questions via comprehensive synthesis of all relevant published evidence. Authors of systematic reviews typically define a Population/Problem, Intervention, Comparator, and Outcome (a PICO criteria) of interest, and then retrieve, appraise and synthesize results from all reports of clinical trials that meet these criteria. Identifying PICO elements in the full-texts of trial reports is thus a critical yet time-consuming step in the systematic review process. We seek to expedite evidence synthesis by developing machine learning models to automatically extract sentences from articles relevant to PICO elements. Collecting a large corpus of training data for this task would be prohibitively expensive. Therefore, we derive distant supervision (DS) with which to train models using previously conducted reviews. DS entails heuristically deriving 'soft' labels from an available structured resource. However, we have access only to unstructured, free-text summaries of PICO elements for corresponding articles; we must derive from these the desired sentence-level annotations. To this end, we propose a novel method - supervised distant supervision (SDS) - that uses a small amount of direct supervision to better exploit a large corpus of distantly labeled instances by learning to pseudo-annotate articles using the available DS. We show that this approach tends to outperform existing methods with respect to automated PICO extraction.", Evidence-based medicine; data extraction; distant supervision; natural language processing; text mining,2,,,,PICO,
177,Yli-Huumo,2016,PloS one,Where Is Current Research on Blockchain Technology?-A Systematic Review,"Blockchain is a decentralized transaction and data management technology developed first for Bitcoin cryptocurrency. The interest in Blockchain technology has been increasing since the idea was coined in 2008. The reason for the interest in Blockchain is its central attributes that provide security, anonymity and data integrity without any third party organization in control of the transactions, and therefore it creates interesting research areas, especially from the perspective of technical challenges and limitations. In this research, we have conducted a systematic mapping study with the goal of collecting all relevant research on Blockchain technology. Our objective is to understand the current research topics, challenges and future directions regarding Blockchain technology from the technical perspective. We have extracted 41 primary papers from scientific databases. The results show that focus in over 80% of the papers is on Bitcoin system and less than 20% deals with other Blockchain applications including e.g. smart contracts and licensing. The majority of research is focusing on revealing and improving limitations of Blockchain from privacy and security perspectives, but many of the proposed solutions lack concrete evaluation on their effectiveness. Many other Blockchain scalability related challenges including throughput and latency have been left unstudied. On the basis of this study, recommendations on future research directions are provided for researchers.", Cost-Benefit Analysis; Data Mining/economics/*trends; Humans; Research/*trends; Technology/*economics/trends,-2,,,,,
178,Nieto,2016,PloS one,An Empirical Biomarker-Based Calculator for Cystic Index in a Model of Autosomal Recessive Polycystic Kidney Disease-The Nieto-Narayan Formula,"Autosomal recessive polycystic kidney disease (ARPKD) is associated with progressive enlargement of the kidneys fuelled by the formation and expansion of fluid-filled cysts. The disease is congenital and children that do not succumb to it during the neonatal period will, by age 10 years, more often than not, require nephrectomy+renal replacement therapy for management of both pain and renal insufficiency. Since increasing cystic index (CI; percent of kidney occupied by cysts) drives both renal expansion and organ dysfunction, management of these patients, including decisions such as elective nephrectomy and prioritization on the transplant waitlist, could clearly benefit from serial determination of CI. So also, clinical trials in ARPKD evaluating the efficacy of novel drug candidates could benefit from serial determination of CI. Although ultrasound is currently the imaging modality of choice for diagnosis of ARPKD, its utilization for assessing disease progression is highly limited. Magnetic resonance imaging or computed tomography, although more reliable for determination of CI, are expensive, time-consuming and somewhat impractical in the pediatric population. Using a well-established mammalian model of ARPKD, we undertook a big data-like analysis of minimally- or non-invasive blood and urine biomarkers of renal injury/dysfunction to derive a family of equations for estimating CI. We then applied a signal averaging protocol to distill these equations to a single empirical formula for calculation of CI. Such a formula will eventually find use in identifying and monitoring patients at high risk for progressing to end-stage renal disease and aid in the conduct of clinical trials."," Animals; *Biomarkers/blood/urine; Blood Urea Nitrogen; Child; Creatinine/blood; Cystatin C/blood; Cysts/pathology; Hepatitis A Virus Cellular Receptor 1/blood; Humans; Interleukin-18/blood; Kidney/diagnostic imaging/metabolism/physiopathology; Kidney Transplantation; Lipocalin-2/blood; Magnetic Resonance Imaging; Mice; Polycystic Kidney, Autosomal Recessive/*blood/diagnostic imaging/pathology/*urine; Rats; Renal Insufficiency/*blood/pathology/*urine; Severity of Illness Index; Ultrasonography",-2,,,,,
