ID,Authors,Year,Journal,Title,Abstract,Keywords,Decision1,Decision2,label
11,Delgado,2018,Artificial intelligence in medicine,Computational methods for Gene Regulatory Networks reconstruction and analysis: A review,"In the recent years, the vast amount of genetic information generated by new-generation approaches, have led to the need of new data handling methods. The integrative analysis of diverse-nature gene information could provide a much-sought overview to study complex biological systems and processes. In this sense, Gene Regulatory Networks (GRN) arise as an increasingly-promising tool for the modelling and analysis of biological processes. This review is an attempt to summarize the state of the art in the field of GRNs. Essential points in the field are addressed, thereof: (a) the type of data used for network generation, (b) machine learning methods and tools used for network generation, (c) model optimization and (d) computational approaches used for network validation. This survey is intended to provide an overview of the subject for readers to improve their knowledge in the field of GRN for future research.", Gene Network; Gene Network inference; Gene Regulatory Network; Networks validation; Systems biology,-2,-1,
12,Hela,2018,Artificial intelligence in medicine,Early anomaly detection in smart home: A causal association rule-based approach,"As the world's population grows older, an increasing number of people are facing health issues. For the elderly, living alone can be difficult and dangerous. Consequently, smart homes are becoming increasingly popular. A sensor-rich environment can be exploited for healthcare applications, in particular, anomaly detection (AD). The literature review for this paper showed that few works consider environmental factors to detect anomalies. Instead, the focus is on user activity and checking whether it is abnormal, i.e., does not conform to expected behavior. Furthermore, reducing the number of anomalies using early detection is a major issue in many applications. In this context, anomaly-cause discovery may be helpful in recommending actions that may prevent risk. In this paper, we present a novel approach for detecting the risk of anomalies occurring in the environment regarding user activities. The method relies on anomaly-cause extraction from a given dataset using causal association rules mining. These anomaly causes are utilized afterward for real-time analysis to detect the risk of anomalies using the Markov logic network machine learning method. The detected risk allows the method to recommend suitable actions to perform in order to avoid the occurrence of an actual anomaly. The proposed approach is implemented, tested, and evaluated for each contribution using real data obtained from an intelligent environment platform and real data from a clinical datasets. Experimental results prove our approach to be efficient in terms of recognition rate.", Anomaly detection; Causal association rules; Markov logic network; Smart homes,-1,-1,
13,Leroy,2018,Journal of medical Internet research,"Automated Extraction of Diagnostic Criteria From Electronic Health Records for Autism Spectrum Disorders: Development, Evaluation, and Application","BACKGROUND: Electronic health records (EHRs) bring many opportunities for information utilization. One such use is the surveillance conducted by the Centers for Disease Control and Prevention to track cases of autism spectrum disorder (ASD). This process currently comprises manual collection and review of EHRs of 4- and 8-year old children in 11 US states for the presence of ASD criteria. The work is time-consuming and expensive. OBJECTIVE: Our objective was to automatically extract from EHRs the description of behaviors noted by the clinicians in evidence of the diagnostic criteria in the Diagnostic and Statistical Manual of Mental Disorders (DSM). Previously, we reported on the classification of entire EHRs as ASD or not. In this work, we focus on the extraction of individual expressions of the different ASD criteria in the text. We intend to facilitate large-scale surveillance efforts for ASD and support analysis of changes over time as well as enable integration with other relevant data. METHODS: We developed a natural language processing (NLP) parser to extract expressions of 12 DSM criteria using 104 patterns and 92 lexicons (1787 terms). The parser is rule-based to enable precise extraction of the entities from the text. The entities themselves are encompassed in the EHRs as very diverse expressions of the diagnostic criteria written by different people at different times (clinicians, speech pathologists, among others). Due to the sparsity of the data, a rule-based approach is best suited until larger datasets can be generated for machine learning algorithms. RESULTS: We evaluated our rule-based parser and compared it with a machine learning baseline (decision tree). Using a test set of 6636 sentences (50 EHRs), we found that our parser achieved 76% precision, 43% recall (ie, sensitivity), and >99% specificity for criterion extraction. The performance was better for the rule-based approach than for the machine learning baseline (60% precision and 30% recall). For some individual criteria, precision was as high as 97% and recall 57%. Since precision was very high, we were assured that criteria were rarely assigned incorrectly, and our numbers presented a lower bound of their presence in EHRs. We then conducted a case study and parsed 4480 new EHRs covering 10 years of surveillance records from the Arizona Developmental Disabilities Surveillance Program. The social criteria (A1 criteria) showed the biggest change over the years. The communication criteria (A2 criteria) did not distinguish the ASD from the non-ASD records. Among behaviors and interests criteria (A3 criteria), 1 (A3b) was present with much greater frequency in the ASD than in the non-ASD EHRs. CONCLUSIONS: Our results demonstrate that NLP can support large-scale analysis useful for ASD surveillance and research. In the future, we intend to facilitate detailed analysis and integration of national datasets.", Autism Spectrum Disorder; Dsm; complex entity extraction; decision tree; electronic health records; machine learning; natural language processing; parser,1,-1,
14,Thom,2018,Research synthesis methods,Automated methods to test connectedness and quantify indirectness of evidence in network meta-analysis,"Network meta-analysis compares multiple treatments from studies that form a connected network of evidence. However, for complex networks, it is not easy to see if the network is connected. We use simple techniques from graph theory to test the connectedness of evidence networks in network meta-analysis. The method is to build the adjacency matrix for a network, with rows and columns corresponding to the treatments in the network and entries being one or zero depending on whether the treatments have been compared or not, and with zeros along the diagonal. Manipulation of this matrix gives the indirect connection matrix. The entries of this matrix determine whether two treatments can be compared, directly or indirectly. We also describe the distance matrix, which gives the minimum number of steps in the network required to compare a pair of treatments. This is a useful assessment of an indirect comparison as each additional step requires further assumptions of homogeneity in, for example, design and target populations of included trials. If there are no loops in the network, the distance is a measure of the degree of assumptions needed; it is approximately this with loops. We illustrate our methods using several constructed examples and giving R code for computation. We have also implemented the techniques in the Stata package ""network."" The methods provide a fast way to ensure comparisons are only made between connected treatments and to assess the degree of indirectness of a comparison.", Connectedness testing; Disconnected network; Graph theory; Indirect comparison; Network meta-analysis,2,-2,
15,Mavragani,2018,Journal of medical Internet research,"Assessing the Methods, Tools, and Statistical Approaches in Google Trends Research: Systematic Review","BACKGROUND: In the era of information overload, are big data analytics the answer to access and better manage available knowledge? Over the last decade, the use of Web-based data in public health issues, that is, infodemiology, has been proven useful in assessing various aspects of human behavior. Google Trends is the most popular tool to gather such information, and it has been used in several topics up to this point, with health and medicine being the most focused subject. Web-based behavior is monitored and analyzed in order to examine actual human behavior so as to predict, better assess, and even prevent health-related issues that constantly arise in everyday life. OBJECTIVE: This systematic review aimed at reporting and further presenting and analyzing the methods, tools, and statistical approaches for Google Trends (infodemiology) studies in health-related topics from 2006 to 2016 to provide an overview of the usefulness of said tool and be a point of reference for future research on the subject. METHODS: Following the Preferred Reporting Items for Systematic Reviews and Meta-Analyses guidelines for selecting studies, we searched for the term ""Google Trends"" in the Scopus and PubMed databases from 2006 to 2016, applying specific criteria for types of publications and topics. A total of 109 published papers were extracted, excluding duplicates and those that did not fall inside the topics of health and medicine or the selected article types. We then further categorized the published papers according to their methodological approach, namely, visualization, seasonality, correlations, forecasting, and modeling. RESULTS: All the examined papers comprised, by definition, time series analysis, and all but two included data visualization. A total of 23.1% (24/104) studies used Google Trends data for examining seasonality, while 39.4% (41/104) and 32.7% (34/104) of the studies used correlations and modeling, respectively. Only 8.7% (9/104) of the studies used Google Trends data for predictions and forecasting in health-related topics; therefore, it is evident that a gap exists in forecasting using Google Trends data. CONCLUSIONS: The monitoring of online queries can provide insight into human behavior, as this field is significantly and continuously growing and will be proven more than valuable in the future for assessing behavioral changes and providing ground for research using data that could not have been accessed otherwise.", Google Trends; big data; health assessment; infodemiology; medicine; review; statistical analysis,1,-2,
16,Szczurowski,2018,Studies in health technology and informatics,Emulating Perceptual Experience of Color Vision Deficiency with Virtual Reality,"One of the major goals of Universal Design is to create experiences that are inclusive to all users, including those affected by Color Vision Deficiency. Color Vision Deficiency might have a significant impact on a users' perception of the content or the environment. There is a range of tools already available, that can be used to either aid or automate the process of readability testing for digital interfaces and content in respect to Color Vision Deficiency. Two different approaches to addressing this issue can be found. A brief review of such methodologies is provided in this paper. The first approach (user-end) attempts to solve the problem by altering mediation between the user and the content. The second (design-end) allows the designer to view an image, or color scheme altered to recreate the perceptual experience of a user affected by Color Vision Deficiency and asses the design from the perspective of a color-blind user. With an implemented proof-of-concept we investigate the potential use of Virtual Reality Head-Mounted Displays to employ similar methodology, to allow designers or interior decorators to experience physical environments (i.e.: classroom, library or a cafeteria) from the perspective of a color-blind person. Such tools might increase the designers' empathy towards color-blind users but also allow them to identify visual components, such as infographics or advertisement, in a physical environment that are poorly visible to color-blind users. Such tools could be developed by taking advantage of a modern Head-Mounted Displays six degrees of freedom tracking, a 360 camera and color processing filters applied during post-processing at run-time, allowing a designer to easily switch between different types of colorblindness emulation.", Color Vision Deficiency; Color-blindness; Design; Head Mounted Display; Virtual Reality,-1,-2,
17,Rast,2018,Systematic reviews,Protocol of a systematic review on the application of wearable inertial sensors to quantify everyday life motor activity in people with mobility impairments,"BACKGROUND: People with mobility impairments may have difficulties in everyday life motor activities, and assessing these difficulties is crucial to plan rehabilitation interventions and evaluate their effectiveness. Wearable inertial sensors enable long-term monitoring of motor activities in a patient's habitual environment and complement clinical assessments which are conducted in a standardised environment. The application of wearable sensors requires appropriate data processing algorithms to estimate clinically meaningful outcome measures, and this review will provide an overview of previously published measures, their underlying algorithms, sensor placement, and measurement properties such as validity, reproducibility, and feasibility. METHODS: We will screen the literature for studies which applied inertial sensors to people with mobility impairments in free-living conditions, described the data processing algorithm reproducibly, and calculated everyday life motor activity-related outcome measures. Three databases (MEDLINE, EMBASE, and SCOPUS) will be searched with terms out of four different categories: study population, measurement tool, algorithm, and outcome measure. Abstracts and full texts will be screened independently by the two review authors, and disagreement will be solved by discussion and consensus. Data will be extracted by one of the review authors and verified by the other. It includes the type of outcome measures, the underlying data processing algorithm, the required sensor technology, the corresponding sensor placement, the measurement properties, and the target population. We expect to find a high heterogeneity of outcome measures and will therefore provide a narrative synthesis of the extracted data. DISCUSSION: This review will facilitate the selection of an appropriate sensor setup for future applications, contain recommendations about the design of data processing algorithms as well as their evaluation procedure, and present a gap for innovative, new algorithms, and devices. SYSTEMATIC REVIEW REGISTRATION: International prospective register of systematic reviews (PROSPERO): CRD42017069865 .", Accelerometer; Activities of daily living; Algorithms; Disabled persons; Gyroscope; Inertial measurement unit; Machine learning; Patients; Pattern recognition; Rehabilitation,-2,-1,
18,Waffenschmidt,2018,Systematic reviews,Effective study selection using text mining or a single-screening approach: a study protocol,"BACKGROUND: Systematic information retrieval generally requires a two-step selection process for studies, which is conducted by two persons independently of one another (double-screening approach). To increase efficiency, two methods seem promising, which will be tested in the planned study: the use of text mining to prioritize search results as well as the involvement of only one person in the study selection process (single-screening approach). The aim of the present study is to examine the following questions related to the process of study selection: Can the use of the Rayyan or EPPI Reviewer tools to prioritize the results of study selection increase efficiency? How accurately does a single-screening approach identify relevant studies? Which advantages or disadvantages (e.g., shortened screening time or increase in the number of full texts ordered) does a single-screening versus a double-screening approach have? METHODS: Our study is a prospective analysis of study selection processes based on benefit assessments of drug and non-drug interventions. It consists of two parts: firstly, the evaluation of a single-screening approach based on a sample size calculation (11 study selection processes, including 33 single screenings) and involving different screening tools and, secondly, the evaluation of the conventional double-screening approach based on five conventional study selection processes. In addition, the advantages and disadvantages of the single-screening versus the double-screening approach with regard to the outcomes ""number of full texts ordered"" and ""time required for study selection"" are analyzed. The previous work experience of the screeners is considered as a potential effect modifier. DISCUSSION: No study comparing the features of prioritization tools is currently available. Our study can thus contribute to filling this evidence gap. This study is also the first to investigate a range of questions surrounding the screening process and to include an a priori sample size calculation, thus enabling statistical conclusions. In addition, the impact of missing studies on the conclusion of a benefit assessment is calculated. SYSTEMATIC REVIEW REGISTRATION: Not applicable.", Citation screening; Screening prioritization; Semi-automation; Systematic reviews,2,2,
19,Ienca,2018,PloS one,Considerations for ethics review of big data health research: A scoping review,"Big data trends in biomedical and health research enable large-scale and multi-dimensional aggregation and analysis of heterogeneous data sources, which could ultimately result in preventive, diagnostic and therapeutic benefit. The methodological novelty and computational complexity of big data health research raises novel challenges for ethics review. In this study, we conducted a scoping review of the literature using five databases to identify and map the major challenges of health-related big data for Ethics Review Committees (ERCs) or analogous institutional review boards. A total of 1093 publications were initially identified, 263 of which were included in the final synthesis after abstract and full-text screening performed independently by two researchers. Both a descriptive numerical summary and a thematic analysis were performed on the full-texts of all articles included in the synthesis. Our findings suggest that while big data trends in biomedicine hold the potential for advancing clinical research, improving prevention and optimizing healthcare delivery, yet several epistemic, scientific and normative challenges need careful consideration. These challenges have relevance for both the composition of ERCs and the evaluation criteria that should be employed by ERC members when assessing the methodological and ethical viability of health-related big data studies. Based on this analysis, we provide some preliminary recommendations on how ERCs could adaptively respond to those challenges. This exploration is designed to synthesize useful information for researchers, ERCs and relevant institutional bodies involved in the conduction and/or assessment of health-related big data research.", ,1,-2,
20,Mahmut,2018,Studies in health technology and informatics,A Speech Sound Disorder Screening System Database Structure,"This paper makes a brief review of several database structures of Computer-Based Speech Therapy (CBST) systems and solutions and describes the screening method, an experimental study conducted to validate the screening algorithm and a database structure for the Information Entropy-Based Sound Speech Disorder (SSD) Screening System aimed at by our research project. The final part briefly presents the essential design criteria and further development.", Computer-based Speech Therapy Tools; Dyslalia; Information Entropy; Screening System; Speech Sound Disorders,-2,-2,
21,Liyanage,2018,Studies in health technology and informatics,Common Data Models (CDMs) to Enhance International Big Data Analytics: A Diabetes Use Case to Compare Three CDMs,"Common data models (CDM) have enabled the simultaneous analysis of disparate and large data sources. A literature review identified three relevant CDMs: The Observational Medical Outcomes Partnership (OMOP) was the most cited; next the Sentinel; and then the Patient Centered Outcomes Research Institute (PCORI). We tested these three CDMs with fifteen pre-defined criteria for a diabetes cohort study use case, assessing the benefit (good diabetes control), risk (hypoglycaemia) and cost effectiveness of recently licenced medications. We found all three CDMs have a useful role in planning collaborative research and enhance analysis of data cross jurisdiction. However, the number of pre-defined criteria achieved by these three CDMs varied. OMOP met 14/15, Sentinel 13/15, and PCORI 10/15. None met the privacy level we specified, and most of the other gaps were clinical and cost outcome related data.", Common data models; Costs and cost analysis; Diabetes Mellitus; Medical record systems; Organization and administration; computerized; data harmonisation,1,-2,
